confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,394,,83A-hlu,{},,,57494,57494
,,394,,83A-hat,{},,,46680,46680
,,394,,83A-hau,{},,,36318,36318
,,394,,83A-haw,{},,,45258,45258
,,394,,83A-hya,{},,,33792,33792
,,394,,83A-hdi,{},,,36114,36114
,,394,,83A-heb,{},,,36894,36894
,,394,,83A-heh,{},,,33666,33666
,,394,,83A-hei,{},,,49473,49473
,,394,,83A-hem,{},,,33948,33948
,,394,,83A-hil,{},,,42711,42711
,,394,,83A-lic,{},,,67403,67403
,,394,,83A-hmo,{},,,41933,41933
,,394,,83A-huc,{},,,71041,71041
,,394,,83A-hoa,{},,,75248,75248
,,394,,83A-hol,{},,,33493,33493
,,394,,83A-htc,{},,,50596,50596
,,394,,83A-hve,{},,,50473,50473
,,394,,83A-hnd,{},,,33827,33827
,,394,,83A-hun,{},,,38695,38695
,,394,,83A-iaa,{},,,44593,44593
,,394,,83A-iba,{},,,43098,43098
,,394,,83A-ice,{},,,38243,38243
,,394,,83A-mxe,{},,,61621,61621
,,394,,83A-ifu,{},,,42567,42567
,,394,,83A-ifm,{},,,61338,61338
,,394,,83A-igb,{},,,32779,32779
,,394,,83A-ige,{},,,32715,32715
,,394,,83A-ign,{},,,53108,53108
,,394,,83A-ik,{},,,35220,35220
,,394,,83A-ila,{},,,34016,34016
,,394,,83A-ilo,{},,,42553,42553
,,394,,83A-ind,{},,,43173,43173
,,394,,83A-igs,{},,,34758,34758
